# Y_over_YO,U_over_Astar,V_over_Astar,W,Mach
0.000000000000000000e+00,9.638516400000000095e-01,-0.000000000000000000e+00,9.638516400000000095e-01,9.570812699999999840e-01
4.170000000000000095e-02,9.639656100000000283e-01,-5.973299999999999747e-04,9.639657900000000446e-01,9.572153899999999993e-01
8.329999999999999905e-02,9.643077799999999478e-01,-1.189909999999999969e-03,9.643085200000000023e-01,9.576181200000000171e-01
1.250000000000000000e-01,9.648789800000000527e-01,-1.772930000000000035e-03,9.648806100000000274e-01,9.582905499999999632e-01
1.666999999999999871e-01,9.656805800000000106e-01,-2.341530000000000087e-03,9.656834199999999591e-01,9.592345300000000297e-01
2.083000000000000129e-01,9.667145400000000111e-01,-2.890740000000000150e-03,9.667188599999999576e-01,9.604527000000000481e-01
2.500000000000000000e-01,9.679834099999999886e-01,-3.415430000000000115e-03,9.679894300000000396e-01,9.619484700000000554e-01
2.917000000000000148e-01,9.694903599999999955e-01,-3.910259999999999604e-03,9.694982500000000059e-01,9.637261299999999586e-01
3.332999999999999852e-01,9.712392600000000487e-01,-4.369669999999999978e-03,9.712490900000000371e-01,9.657908699999999680e-01
3.750000000000000000e-01,9.732346600000000292e-01,-4.787740000000000398e-03,9.732464400000000460e-01,9.681488700000000502e-01
4.167000000000000148e-01,9.754819200000000023e-01,-5.158219999999999819e-03,9.754955499999999891e-01,9.708073499999999578e-01
4.582999999999999852e-01,9.779871700000000168e-01,-5.474350000000000223e-03,9.780024899999999466e-01,9.737746699999999533e-01
5.000000000000000000e-01,9.807574900000000095e-01,-5.728849999999999741e-03,9.807742200000000299e-01,9.770604400000000300e-01
5.416999999999999593e-01,9.838008799999999887e-01,-5.913759999999999677e-03,9.838186599999999560e-01,9.806756399999999596e-01
5.833000000000000407e-01,9.871264299999999992e-01,-6.020379999999999655e-03,9.871447899999999942e-01,9.846327299999999560e-01
6.250000000000000000e-01,9.907443200000000116e-01,-6.039079999999999622e-03,9.907627300000000359e-01,9.889457999999999860e-01
6.666999999999999593e-01,9.946659899999999999e-01,-5.959210000000000375e-03,9.946838399999999858e-01,9.936307500000000070e-01
7.083000000000000407e-01,9.989041899999999696e-01,-5.768900000000000416e-03,9.989208499999999713e-01,9.987054400000000554e-01
7.500000000000000000e-01,1.003473129999999935e+00,-5.454879999999999625e-03,1.003487950000000017e+00,1.004189929999999897e+00
7.916999999999999593e-01,1.008388540000000111e+00,-5.002310000000000263e-03,1.008400949999999963e+00,1.010106689999999974e+00
8.333000000000000407e-01,1.013667850000000037e+00,-4.394509999999999909e-03,1.013677380000000072e+00,1.016480819999999952e+00
8.750000000000000000e-01,1.019330300000000022e+00,-3.612769999999999957e-03,1.019336699999999984e+00,1.023340399999999928e+00
9.166999999999999593e-01,1.025397040000000093e+00,-2.636030000000000144e-03,1.025400429999999918e+00,1.030716769999999949e+00
9.583000000000000407e-01,1.031891340000000046e+00,-1.440639999999999976e-03,1.031892339999999963e+00,1.038644899999999982e+00
1.000000000000000000e+00,1.038838659999999914e+00,-0.000000000000000000e+00,1.038838659999999914e+00,1.047163800000000089e+00
